Frequency,Output Voltage,Phase Shift,Gain (dB)
1.0,10.4,-1.0,0.0
2.0,10.4,-1.2,0.0
5.0,10.4,-1.5,0.0
10.0,10.4,-1.7,0.0
20.0,10.4,-1.7,0.0
50.0,10.4,-1.7,0.0
100.0,10.4,-3.0,0.0
200.0,10.4,-4.0,0.0
500.0,10.0,-10.0,-0.3406667859756079
800.0,9.5,-15.0,-0.786194680198652
1000.0,9.1,-17.0,-1.1598389395537363
1500.0,8.0,-26.0,-2.278867046136736
2000.0,7.1,-36.0,-3.3154998115941026
3000.0,5.5,-55.0,-5.53341299609073
4000.0,4.41,-71.0,-7.451894996618837
5000.0,3.3,-88.0,-9.970387988417858
5200.0,3.3, -90.0,-10.013445465
5500.0,3.1,-93.0,-10.513432909290154
6000.0,2.7,-100.0,-11.71339150279586
8000.0,2.05,-117.0,-14.105589564860523
10000.0,1.5,-130.0,-16.818841604861984
20000.0,0.57,-155.0,-25.22316967252578
50000.0,0.107,-170.0,-39.75299123227141
100000.0,0.028,-173.0,-51.397506159131225
1000000.0,0.0,-180.0,-inf
