Frequency,Output Voltage,Phase Shift,Gain (dB)
100.0,6.2,-8.5,6.020599913279624
200.0,6.2,-16.0,6.020599913279624
300.0,6.2,-25.0,6.020599913279624
400.0,6.2,-33.0,6.020599913279624
500.0,6.2,-42.0,6.020599913279624
600.0,5.8,-52.0,5.441325994573292
700.0,5.5,-60.0,4.980019913199423
800.0,5.2,-70.0,4.49283299601053
900.0,4.8,-78.0,3.7975908708262907
1000.0,4.4,-85.0,3.0418196530382957
1030.0,4.3,-90.0,2.842135234906276
1050.0,4.18,-92.0,2.5962917588152488
1080.0,4.1,-95.0,2.428443257709256
1100.0,4.0,-97.0,2.213965949873794
1150.0,3.8,-100.0,1.7684380556507482
1500.0,2.7,-116.0,-1.1999585935057073
2000.0,1.7,-133.0,-5.218255449119976
5000.0,0.3,-162.0,-20.284808782292206
10000.0,0.07,-174.0,-32.925273076400316
20000.0,0.03,-180.0,-40.28480878229221
50000.0,0.01,-180.0,-49.827233876685455
100000.0,0.01,-180.0,-49.827233876685455
200000.0,0.01,-180.0,-49.827233876685455
500000.0,0.01,-180.0,-49.827233876685455
1000000.0,0.01,-180.0,-49.827233876685455
10000000.0,0.01,-180.0,-49.827233876685455
f
